gene_id,G1a,G1b,S,M,C
TGME49_289710,0.0078236319829667594,0.0021324412750277277,0.0038859562616828719,0,0
TGME49_239010,0.026879797828761598,0.0064270383013129212,0,0.014051057348155743,0
TGME49_239910,0.053614379314387124,0.022736812741402199,0.033106822406385898,0,0.019986183292957087
TGME49_250800,0.40093602458892436,0.30127662804166383,0.25826149149790728,0.21295760513614498,0.3317860596888545
TGME49_224230,0.026943302165308901,0.022070768703607413,0.0047920451170722122,0,0.0091626983588551821
TGME49_293280,0.13511537912052207,0.11246006420904543,0.077434914987471556,0.034517384829727597,0.088522301052941232
TGME49_280470,0.16702185997002464,0.10130420511547615,0.048279206382413495,0.06920121702821877,0.16134873947963999
TGME49_207900,0.13250586655341412,0.13160500582653892,0.075004786962776196,0.10436036815271542,0.1193494572473672
TGME49_223120,0,0.002275809587424142,0,0,0
TGME49_266910,0.26823673204979415,0.32972186310154633,0.27904411251244871,0.24250815419233235,0.26548980065650507
TGME49_290630,0.031543101321716331,0.049369791196801155,0.035424605516655577,0.02506777299179886,0.033249097615484231
TGME49_313040,0.0071863173602254434,0.030940763004691924,0.016725384540417668,0,0.010689645631961396
TGME49_311510,0.12493482899724817,0.17456834775480842,0.10615385880183846,0.060775922082712049,0.129814083520293
TGME49_218220,0.011612494131699002,0.023728368375915066,0.015632529230137946,0,0
TGME49_260250,0.052923403179757425,0.11470203848154296,0.098688580869320322,0.033711452666599459,0.0562027376357895
TGME49_239440,0.045700610553919219,0.0988452728938429,0.073267198908894729,0.03142740130579056,0.081912441117919815
TGME49_223050,0.53498069037186813,0.62332377808013983,0.30809664960387856,0.19971527287600588,0.45731505552586993
TGME49_243780,0.016454684024558481,0.038519313174789377,0.029647202847362195,0.011668935556576105,0.031637543110962126
TGME49_291590,0.020445387862925372,0.021024602761958482,0.0098195395340323604,0,0.011931938903814499
TGME49_267580,0.035091212491937231,0.04332735596118209,0.034441997617725748,0.042583101762272209,0.011301079973813974
TGME49_254910,0,0,0.0013795379902261475,0,0
TGME49_220440,0.0021429880615076659,0.00098110956342184821,0.011648365122834124,0,0
TGME49_229200,0.0046847718335720984,0.0047048285129849179,0.014198576994399959,0,0
TGME49_216220,0.017184174314368444,0.033589828396044831,0.049639251007523089,0.026834475556693823,0.026674133224054285
TGME49_261410,0.041691827523494547,0.043908740380931441,0.073039535316825735,0.04919753532879699,0.022032236134306687
TGME49_249880,0,0.0018250972494848932,0.0028773021174325585,0,0
TGME49_236240,0.10087153783452042,0.098267725746890605,0.14954715707170599,0.12234417517647106,0.074989886450836984
TGME49_318470,0.0067115946157730137,0.014910243034449561,0.36062890787110063,0.29664285261841972,0.033263228938902469
TGME49_266900,0.67495540966072742,1.0645457557747009,1.1811021481721626,0.8473979062143937,0.96484571110996975
TGME49_219100,0.013300343735263776,0.023221276541625514,0.038375465205252347,0.034271727560537868,0.013200374824948648
TGME49_240460,0.062971780058972859,0.23792630050895722,0.71724454036696916,0.67014345587376145,0.13205407082529041
TGME49_203710,0.031413482723031419,0.061429494621644314,0.070984174458040533,0,0.036047545581411856
TGME49_305330,0.067593458704721859,0.17568915988203204,0.18016478959097093,0.010388649964803305,0.10052429993743081
TGME49_281450,0.05049574720946054,0.070112691765602808,0.079249952821516159,0.045513194746318673,0.077412621768402259
TGME49_251740,0,0.00095668243591083579,0.02401720888122898,0.11243379192391462,0
TGME49_290020,0.067009475463807144,0.080670657214551397,0.072171075383117872,0.14557032009617443,0.043923880429412407
TGME49_270330,0.072272879423979336,0.071040014742167409,0.056594455768225742,0.10800578077406056,0.052871740411338658
TGME49_264690,0.018641387635628566,0.027760783104435187,0.026389273284218258,0.043132496235353292,0.020115611268271123
TGME49_262730,0.0042155558001680023,0.0071405115395643901,0.079839136952521553,0.13018805955376153,0.047866378961425669
TGME49_229020,0.0023821003027951352,0.017704117462430963,0.044817761130599043,0.051022897187929649,0
TGME49_256070,0.0062398809070954159,0.0023170444273120459,0.0090493000870323862,0.010806185513740766,0
TGME49_237090,0.03112520858378379,0.12054626478883,0.54213081798728247,0.54617862875308498,0.011209510527282831
TGME49_254630,0.006670419686765309,0.021186298677779623,0.039862848975416205,0.039865895610778579,0.010372604288992407
TGME49_249260,0.052962990424630117,0.085828613161751555,0.078950233901825304,0.036802101256284081,0.16304680331898244
TGME49_309410,0.014301368989471146,0.007573433881327413,0.0078760990211303866,0.0088651406716132378,0.02112559468321976
TGME49_247700,0.080058552832586866,0.061104778338893398,0.036651811099135366,0.011144250937911652,0.10597089929799927
TGME49_315760,0.098657202507144728,0.15166125480116346,0.086451916020570604,0.030760282051415695,0.18106910086219857
TGME49_224050,0.11619625195884532,0.11089483751257417,0.11453240894452414,0.041114364595421241,0.15871933931780291
TGME49_271280,0.079389253742427446,0.081298429193504523,0.052332339802470283,0.011429743325906985,0.11209605098034416
TGME49_292010,0.048470328802609368,0.047040990327886743,0.048051365412756446,0.011334272103011923,0.060445797430663604
