gene_id,G1a,G1b,S,M,C
TGME49_289710,1.5502011450060229,-0.19502057484737345,0.34270036930057302,-0.84894046972961124,-0.84894046972961124
TGME49_239010,1.5376201460116261,-0.26891588449547416,-0.83659851163382215,0.40449276175149235,-0.83659851163382215
TGME49_239910,1.4149489443000889,-0.16086096230224781,0.36836351278771379,-1.3212145373735054,-0.30123695741205014
TGME49_250800,1.394912795017355,0.0032545708299764769,-0.59741501587852708,-1.2300450360000967,0.429292686031294
TGME49_224230,1.2501932704655248,0.82567730391522942,-0.67971903697146063,-1.0972225144983563,-0.29892902291093748
TGME49_293280,1.1973566646625895,0.60124037922138396,-0.32035624976264931,-1.4496205640267208,-0.028620230094602017
TGME49_280470,1.0770669677073679,-0.1519886726295063,-1.1436654741825616,-0.75238073877427514,0.97096791787897363
TGME49_207900,0.83444510697175245,0.79674752355345102,-1.5717556295498107,-0.34333658797496602,0.28389958699957629
TGME49_223120,-0.44721359549995798,1.7888543819998319,-0.44721359549995798,-0.44721359549995798,-0.44721359549995798
TGME49_266910,-0.27100181955866592,1.6303813798858791,0.063208603192169407,-1.0666394777528534,-0.3559486857665376
TGME49_290630,-0.37857981648590011,1.6135330444501856,0.05517398080895787,-1.1021905897254833,-0.18793661904775769
TGME49_313040,-0.507896902645258,1.5293533456748212,0.31020120296620629,-1.1242163506234766,-0.20744129537229269
TGME49_311510,0.13794483256973153,1.3421982584483696,-0.31773609163840105,-1.4187367283298744,0.2563297289501752
TGME49_218220,0.13793768652674304,1.3166773240599059,0.52904233314905658,-0.99182867186785306,-0.99182867186785306
TGME49_260250,-0.53956765979098742,1.2797379922680712,0.80816114696208896,-1.1053362298626059,-0.442995249576566
TGME49_239440,-0.75066352240022971,1.1925322482029646,0.25728865083441915,-1.2725529958245863,0.5733956191874312
TGME49_223050,0.64519664094200635,1.1619831947609613,-0.68202232532500906,-1.3160282179230658,0.19087070754510613
TGME49_243780,-0.81877814667560855,1.1597926066441813,0.36421621627959611,-1.2479239024018423,0.54269322615367444
TGME49_291590,0.90161735750974392,0.96856055846642497,-0.32647311668856638,-1.4613738407999917,-0.082330958487610753
TGME49_267580,0.13410188693009431,0.76803742035926514,0.084131851909426694,0.71075221347152084,-1.6970233726703055
TGME49_254910,-0.44721359549995793,-0.44721359549995793,1.7888543819998317,-0.44721359549995793,-0.44721359549995793
TGME49_220440,-0.16428911880833655,-0.39951147114888569,1.7600748796068935,-0.5981371448248356,-0.5981371448248356
TGME49_229200,-0.0056694804819121423,-0.002209395990947877,1.6356076726044249,-0.81386439806578248,-0.81386439806578248
TGME49_216220,-1.1286197831389311,0.23281227097876372,1.5646822643704026,-0.32778432861915141,-0.3410904235910846
TGME49_261410,-0.23406836481474985,-0.11288870484879808,1.4794426369211509,0.17620446868846376,-1.3086900359460671
TGME49_249880,-0.70160963287486067,0.65993551807583328,1.4448933805487487,-0.70160963287486067,-0.70160963287486067
TGME49_236240,-0.2964651307076096,-0.3891064820566964,1.4353707284581114,0.46751248113224314,-1.2173115968260495
TGME49_318470,-0.79022278190372131,-0.74248648878245971,1.2704462141907396,0.8978900399002131,-0.63562698340477131
