gene_id,G1a,G1b,S,M,C
TGME49_271280,0.24239242783573847,0.1162583955916152,0.018791081154677338,0,0.062435849677539373
TGME49_236240,0.23597937091053448,0.12467824852885552,0.16803297017703889,0.14805068436355026,0.082568201756150039
TGME49_239440,0.24364798126670742,0.17678360940738494,0.10683790952179906,0.068887783085922555,0
TGME49_292010,0.25036684618602051,0.082951203405639745,0.21809502170338679,0,0.050882213895620615
TGME49_247700,0.23597937091053448,0.023996252208951102,0.10031784212794356,0.21406140729731746,0.11133149465344493
TGME49_266900,1.9741207095731008,1.3452128332719326,1.9513528062050485,0.85652627121274083,0.16152932391160543
TGME49_239010,0,0.0339062222124627,0,0,0
TGME49_260250,0,0.23102983642232786,0.10456294394032088,0,0.05805245656263041
TGME49_313040,0,0.0640323576792729,0.035269974562341169,0,0
TGME49_223050,0.80466853141897166,1.425540236443297,0.78252202481289357,0.039109728192223185,0.092591841586947249
TGME49_249260,0,0.18830218099448232,0.1224994414394807,0,0.10009114630396221
TGME49_293280,0,0.05825279267873805,0.046271886426034053,0,0
TGME49_254630,0,0.072502867020560705,0.059698354500786727,0,0
TGME49_305330,0.22517900243445244,0.67782578255799919,0.62159500425194658,0,0.22254245545785223
TGME49_264690,0,0.018451699523440786,0.018331814208785113,0,0
TGME49_223120,0,0,0.023853273369748094,0,0
TGME49_254910,0,0,0.037465365107381396,0,0
TGME49_220440,0,0.010355175912461743,0.1042981313019777,0,0
TGME49_229200,0,0.0082102630363886236,0.075241367934900355,0,0
TGME49_229020,0,0.010473375475820813,0.13414365509709314,0.019415633838656233,0
TGME49_239910,0,0.0087763118086894142,0.060585764962934829,0,0
TGME49_249880,0,0.011587269345665714,0.065679195116019926,0,0
TGME49_219100,0,0.041207598548774906,0.43649063336648475,0.099717072744138005,0
TGME49_224050,0,0.18771735431219896,0.39764161554785915,0.18619728063404425,0.085653364370970722
TGME49_261410,0,0.0692467156340031,0.14610543113642138,0,0.059739450576528401
TGME49_290020,0,0.055868560633082778,0.15978379034348453,0,0.088578533793036152
TGME49_311510,0,0.10947584966322262,0.1731397246919115,0.033909056204378903,0
TGME49_216220,0,0.054377138682182656,0.14421113390196358,0.090251849097389716,0
TGME49_266910,0,0.20593319000550625,0.31159295189785985,0.13867238437231183,0
TGME49_240460,0,0.26002394203544044,0.7043869190379457,0.49495491084683296,0
TGME49_281450,0,0.083624835676319106,0.11421479826854887,0,0.037655296626422828
TGME49_262730,0,0,0.26839585999358134,0.2240688932378456,0
TGME49_256070,0,0.023287558474198732,0.025725648629742352,0,0
TGME49_291590,0,0.079479442803787451,0.086081076560822339,0,0
TGME49_203710,0,0.22500551286473758,0.22664520065263341,0.03910973023656359,0.10914716945607185
TGME49_218220,0,0.011576468490546976,0,0.13516747870856557,0
TGME49_270330,0,0.026858025443992989,0.07676214934314167,0.1872911702314545,0.0449007404235705
TGME49_290630,0,0.073959363225994765,0.10100301049887597,0.26978972947178581,0
TGME49_309410,0,0.014021914681731695,0.091375060336435873,0.19796478627971828,0
TGME49_318470,0,0.011266054795327449,0.56398259871263634,1.1980432983796205,0
TGME49_251740,0,0,0.53258836324363201,1.0284107827583957,0
TGME49_237090,0,0.025323991546513897,0.069906849535215504,0.13452768973408027,0
TGME49_289710,0,0.022248517142921788,0.049400189433243966,0.067252475162028105,0
TGME49_224230,0,0.010461380104840511,0,0,0.071777934069264221
TGME49_280470,0.22517900243445244,0.074015428761662297,0,0.088371487959262723,0.88486636926830109
TGME49_250800,0.71881934906715905,0.46962403862841151,0.17698414033284249,0.16051945995398706,1.4772877376623874
TGME49_315760,0.55727799162898206,0.1354906226855348,0.084060805604157768,0.090816646775034995,0.81766426994797348
TGME49_267580,0,0.028096268716586766,0.020330051574030276,0,0.0449007404235705
TGME49_207900,0.25036684618602051,0.27211122273657312,0.076301661295131329,0,0.30613646868978911
TGME49_243780,0,0.097531504271157796,0.09958195881387702,0.090841077201203088,0.10786751512955131
